Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
Don Emilio,0,176,339,220,169,457,566,1927
Deea - Modern Indian Establishment,217,147,195,211,377,438,296,1881
Teddington Constitutional Club,145,189,310,232,458,335,209,1878
Joseph Hood Recreation Ground,180,171,226,200,174,555,327,1833
Westmoor Community Health Clinic,279,600,447,364,142,0,0,1832
Masaniello,0,253,126,271,269,639,260,1818
Forward House Hall,0,73,352,282,70,666,359,1802
Vanilla patisserie,176,174,143,220,230,403,379,1725
Crystal Chinese Takeaway,84,124,84,277,363,417,342,1691
Haxton & Co,591,321,490,284,0,0,0,1686
MATSUBA,0,181,198,277,499,522,0,1677
Three70 Bar & Shisha Lounge,132,269,132,347,296,479,0,1655
Twickenham Health Care,244,197,407,387,225,162,0,1622
The Good Earth Express,214,139,282,159,397,239,161,1591
Strawberry Hill House & Garden,355,479,462,0,0,0,291,1587
Boots Pharmacy,386,295,0,289,327,282,0,1579
Twickenham Tandoori,124,160,109,226,343,430,165,1557
Stag Lodge 2,0,304,216,0,239,313,458,1530
The Fox - Twickenham,61,44,85,132,340,741,124,1527
Roz Ana,121,109,168,170,360,400,184,1512
"The Cabbage Patch, Twickenham",37,71,103,131,231,825,111,1509
"The Turk's Head, Twickenham",61,130,111,112,243,685,146,1488
Aromaden Dental and Implant Clinic,444,208,280,383,173,0,0,1488
The Fountain Gallery,0,320,0,0,403,385,376,1484
The Entertainer,145,133,178,196,176,565,0,1393
Iris Hay Homeopathy,350,422,0,221,385,0,0,1378
The Fun Factory,0,380,223,0,314,424,0,1341
Light House,96,114,95,171,303,313,208,1300
Norbiton Sandwich Shop,247,173,230,290,333,0,0,1273
Richardson Evans Memorial Playing Fields,75,119,116,60,98,450,296,1214
Aquanaut Scuba & Snorkelling Centre,205,0,255,0,288,463,0,1211
Sai Restaurant,0,103,127,62,280,387,176,1135
World Rugby Museum & Twickenham Stadium Tours,0,202,169,49,58,465,30,973
Sheesh Mahal,25,11,45,48,275,403,42,849
Le Salon Privé,0,116,86,104,174,357,0,837
A Cena,0,28,65,107,169,352,0,721
"Holy Trinity Church, Roehampton",189,33,10,22,112,0,0,366
